Incorporated City or Town,2020 Decennial Census Population,MGRT Tax Rate
Johnson City city,"1,627",0.58%
Jolly city,172,0.00%
Jones Creek village,"1,975",0.58%
Jonestown city,"2,365",0.58%
Josephine city,"2,119",0.58%
Joshua city,"7,891",1.07%
Jourdanton city,"4,094",1.07%
Junction city,"2,451",0.58%
Justin city,"4,409",1.07%
Karnes City city,"3,111",1.07%
Katy city,"21,894",2.00%
Kaufman city,"6,797",1.07%
Keene city,"6,387",1.07%
Keller city,"45,776",2.00%
Kemah city,"1,807",0.58%
Kemp city,"1,129",0.58%
Kempner city,"1,146",0.58%
Kendleton city,343,0.00%
Kenedy city,"3,473",1.07%
Kenefick town,615,0.00%
Kennard city,272,0.00%
Kennedale city,"8,517",1.07%
Kerens city,"1,505",0.58%
Kermit city,"6,267",1.07%
Kerrville city,"24,278",2.00%
Kilgore city,"13,376",2.00%
Killeen city,"153,095",2.00%
Kingsbury city,132,0.00%
Kingsville city,"25,402",2.00%
Kirby city,"8,142",1.07%
Kirbyville city,"2,036",0.58%
Kirvin town,101,0.00%
Knollwood city,764,0.00%
Knox City town,"1,065",0.58%
Kosse town,458,0.00%
Kountze city,"1,981",0.58%
Kress city,596,0.00%
Krugerville city,"1,766",0.58%
Krum city,"5,483",1.07%
Kurten town,395,0.00%
Kyle city,"45,697",2.00%
La Feria city,"6,817",1.07%
La Grange city,"4,391",1.07%
La Grulla city,"1,222",0.58%
La Joya city,"4,457",1.07%
La Marque city,"18,030",2.00%
La Porte city,"35,124",2.00%
La Vernia city,"1,077",0.58%
La Villa city,"2,804",1.07%
La Ward city,176,0.00%
LaCoste city,"1,077",0.58%
Lacy-Lakeview city,"6,988",1.07%
Ladonia town,597,0.00%
Lago Vista city,"8,896",1.07%
Laguna Vista town,"3,520",1.07%
Lake Bridgeport city,339,0.00%
Lake City town,447,0.00%
Lake Dallas city,"7,708",1.07%
Lake Jackson city,"28,177",2.00%
Lake Tanglewood village,686,0.00%
Lake Worth city,"4,711",1.07%
Lakeport city,976,0.00%
Lakeside City town,"1,082",0.58%
Lakeside town (San Patricio County),338,0.00%
Lakeside town (Tarrant County),"1,649",0.58%
Lakeview town,60,0.00%
Lakeway city,"19,189",2.00%
Lakewood Village city,635,0.00%
Lamesa city,"8,674",1.07%
Lampasas city,"7,291",1.07%
Lancaster city,"41,275",2.00%
Laredo city,"255,205",2.00%
Latexo city,232,0.00%
Lavon city,"4,469",1.07%
Lawn town,311,0.00%
League City city,"114,392",2.00%
Leakey city,315,0.00%
Leander city,"59,202",2.00%
Leary city,433,0.00%
Lefors town,420,0.00%
Leon Valley city,"11,542",2.00%
Leona city,151,0.00%
Leonard city,"1,987",0.58%
Leroy city,354,0.00%
Levelland city,"12,652",2.00%
Lewisville city,"111,822",2.00%
Lexington town,"1,217",0.58%
Liberty city,"8,279",1.07%
Liberty Hill city,"3,646",1.07%
Lindale city,"6,059",1.07%
Linden city,"1,825",0.58%
Lindsay city,"1,045",0.58%
Lipan city,505,0.00%
Little Elm city,"46,453",2.00%
Little River-Academy city,"1,992",0.58%
Littlefield city,"5,943",1.07%
Live Oak city,"15,781",2.00%
Liverpool city,475,0.00%
Livingston town,"5,640",1.07%
Llano city,"3,325",1.07%
Lockhart city,"14,379",2.00%
Lockney town,"1,498",0.58%
Log Cabin city,678,0.00%
Lometa city,753,0.00%
Lone Oak city,643,0.00%
Lone Star city,"1,400",0.58%
Longview city,"81,638",2.00%
Loraine town,504,0.00%
Lorena city,"1,785",0.58%
Lorenzo city,964,0.00%
Los Fresnos city,"8,114",1.07%
Los Indios town,"1,008",0.58%
Los Ybanez city,28,0.00%
Lott city,644,0.00%
Lovelady city,570,0.00%
Lowry Crossing city,"1,689",0.58%
Lubbock city,"257,141",2.00%
Lucas city,"7,612",1.07%
Lueders city,258,0.00%
Lufkin city,"34,143",2.00%
Luling city,"5,599",1.07%
Lumberton city,"13,554",2.00%
Lyford city,"2,249",0.58%
Lytle city,"2,914",1.07%
Mabank town,"4,050",1.07%
Madisonville city,"4,420",1.07%
Magnolia city,"2,359",0.58%
Malakoff city,"2,179",0.58%
Malone town,237,0.00%
Manor city,"13,652",2.00%
Mansfield city,"72,602",2.00%
Manvel city,"9,992",1.07%
Marble Falls city,"7,037",1.07%
Marfa city,"1,788",0.58%
Marietta town,115,0.00%
Marion city,"1,034",0.58%
Marlin city,"5,462",1.07%
Marquez city,181,0.00%
Marshall city,"23,392",2.00%
Mart city,"1,748",0.58%
Martindale city,"1,253",0.58%
Mason city,"2,121",0.58%
Matador town,569,0.00%
Mathis city,"4,333",1.07%
Maud city,977,0.00%
Maypearl city,939,0.00%
McAllen city,"142,210",2.00%
McCamey city,"1,831",0.58%
McGregor city,"5,321",1.07%
McKinney city,"195,308",2.00%
McLean town,665,0.00%
McLendon-Chisholm city,"3,562",1.07%
Meadow town,601,0.00%
Meadowlakes city,"1,907",0.58%
Meadows Place city,"4,767",1.07%
Megargel town,174,0.00%
Melissa city,"13,901",2.00%
Melvin town,123,0.00%
Memphis city,"2,048",0.58%
Menard city,"1,348",0.58%
Mercedes city,"16,258",2.00%
Meridian city,"1,396",0.58%
Merkel town,"2,471",0.58%
Mertens town,144,0.00%
Mertzon city,747,0.00%
Mesquite city,"150,108",2.00%
Mexia city,"6,893",1.07%
Miami city,539,0.00%
Midland city,"132,524",2.00%
Midlothian city,"35,125",2.00%
Midway city,173,0.00%
Milano city,390,0.00%
Mildred town,399,0.00%
Miles city,875,0.00%
Milford town,722,0.00%
Miller's Cove town,71,0.00%
Millsap town,370,0.00%
Mineola city,"4,823",1.07%
Mineral Wells city,"14,820",2.00%
Mingus city,223,0.00%
Mission city,"85,778",2.00%
Missouri City city,"74,259",2.00%
Mobeetie city,87,0.00%
Mobile City city,142,0.00%
Monahans city,"7,836",1.07%
Mont Belvieu city,"7,654",1.07%
Montgomery city,"1,948",0.58%
Moody city,"1,376",0.58%
Moore Station city,160,0.00%
Moran city,226,0.00%
Morgan city,454,0.00%
Morgan's Point city,273,0.00%
Morgan's Point Resort city,"4,636",1.07%
Morton city,"1,690",0.58%
Moulton town,854,0.00%
Mount Calm city,282,0.00%
Mount Enterprise city,505,0.00%
Mount Pleasant city,"16,047",2.00%
Mount Vernon town,"2,491",0.58%
Mountain City city,622,0.00%
Muenster city,"1,536",0.58%
Muleshoe city,"5,160",1.07%
Mullin town,130,0.00%
Munday city,"1,246",0.58%
Murchison city,516,0.00%
Murphy city,"21,013",2.00%
Mustang Ridge city,944,0.00%
Mustang town,0,0.00%
Nacogdoches city,"32,147",2.00%
Naples city,"1,387",0.58%
Nash city,"3,814",1.07%
Nassau Bay city,"5,347",1.07%
Natalia city,"1,202",0.58%
Navarro town,232,0.00%
Navasota city,"7,643",1.07%
Nazareth city,310,0.00%
Nederland city,"18,856",2.00%
Needville city,"3,089",1.07%
Nesbitt town,273,0.00%
Nevada city,"1,314",0.58%
New Berlin city,656,0.00%
New Boston city,"4,612",1.07%
New Braunfels city,"90,403",2.00%
New Chapel Hill city,620,0.00%
New Deal town,730,0.00%
New Fairview city,"1,386",0.58%
New Home city,326,0.00%
New Hope town,661,0.00%
New London city,958,0.00%
New Summerfield city,843,0.00%
New Waverly city,914,0.00%
Newark city,"1,096",0.58%
Newcastle city,526,0.00%
Newton city,"1,633",0.58%
Neylandville town,67,0.00%
Niederwald city,668,0.00%
Nixon city,"2,341",0.58%
Nocona city,"3,002",1.07%
Nolanville city,"5,917",1.07%
Nome city,469,0.00%
Noonday city,612,0.00%
Nordheim city,336,0.00%
Normangee town,495,0.00%
North Cleveland city,225,0.00%
North Richland Hills city,"69,917",2.00%
Northlake town,"5,201",1.07%
Novice city,122,0.00%
Oak Grove town,617,0.00%
Oak Leaf city,"1,552",0.58%
Oak Point city,"4,357",1.07%
Oak Ridge North city,"3,057",1.07%
Oak Ridge town (Cooke County),242,0.00%
Oak Ridge town (Kaufman County),771,0.00%
Oak Valley town,406,0.00%
Oakwood town,389,0.00%
O'Brien city,91,0.00%
Odem city,"2,255",0.58%
Odessa city,"114,428",2.00%
O'Donnell city,704,0.00%
Oglesby city,441,0.00%
Old River-Winfree city,"1,315",0.58%
Olmos Park city,"2,180",0.58%
Olney city,"3,007",1.07%
Olton city,"1,989",0.58%
Omaha city,936,0.00%
Onalaska city,"3,020",1.07%
Opdyke West town,220,0.00%
Orange city,"19,324",2.00%
Orange Grove city,"1,165",0.58%
Orchard city,313,0.00%
Ore City city,"1,108",0.58%
Overton city,"2,275",0.58%
Ovilla city,"4,304",1.07%
Oyster Creek city,"1,173",0.58%
Paducah town,"1,063",0.58%
Paint Rock town,237,0.00%
Palacios city,"4,395",1.07%
Palestine city,"18,544",2.00%
Palisades village,268,0.00%
Palm Valley city,"1,413",0.58%
Palmer town,"2,393",0.58%
